Plant name (English),Parent,Country,Region - analysis,Coordinates,Status,Start of operation,Estimated BF-BOF capacity (kt steel/y),Estimated EAF capacity (kt steel/y),Estimated DRI capacity (kt sponge iron/y),Abundant RES?,CCS available?,Cheap natural gas?,Industrial cluster?,Plant Technology in 2020,Source,Excel Tab
"Hebei Mingbin Iron and Steel Co., Ltd.","Wealth Group Investment, Ltd. (Hong Kong) (percentage unknown)",China,China,"36.638138, 113.985260",operating,1984,0,unknown,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Meijin Iron and Steel Co., Ltd.","China New Energy Group, Ltd. 81.2605%, other sharehAvg BF-BOF",China,China,"37.571354, 112.229791",operating,2003,2000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Jianbang Group Co., Ltd.","Shanxi Jianbang Group Co., Ltd. 100%: Wu Xiaonian 56.9083%, Zhang Rui 43.0917%",China,China,"35.668163, 111.379160",operating,1988,2600,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yancheng Lianxin Iron and Steel Co., Ltd.","Huachuang Jiangsu Investment Co., Ltd. 80.4082%, other individual sharehAvg BF-BOF",China,China,"33.211332, 120.774892",operating,1958,3200,0,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jingjiang Special Steel Co., Ltd.","Citic Pacific Special Steel Investment Limited 75.05%, other sharehAvg BF-BOF",China,China,"32.083229, 120.470847",operating,1965,0,unknown,0,1,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Zongheng Group Fengnan Iron & Steel Co., Ltd.","Shanghai Chetong Trading Co., Ltd. 45%, Zhejiang Hongcheng New Energy Co., Ltd. 40%, Hebei Zongheng Steel Group Co., Ltd. 15%",China,China,"39.222566, 118.094201",operating,2019,7700,0,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong IRON&STEEL Group Rizhao Co., Ltd.（Phase 1）","Shandong Iron and Steel GROUP Co., Ltd.100%",China,China,"35.188969, 119.383723",operating,2019,8500,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Liuzhou Iron & Steel Co., LTD (Fangchenggang Iron and Steel Base ）",Guangxi Liuzhou Iron and Steel GROUP Company Limited,China,China,"21.592965, 108.395805",operating,2020,14700,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Liu'an Steel HAvg BF-BOF,China Construction Rongdong Investment HAvg BF-BOF,China,China,"32.329171, 115.954963",operating,2019,3000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fujian Dingsheng Iron and Steel Co., Ltd","Linyiwu 36%, lijingzhong 32%, lisheng 16%, lishuang 16%",China,China,"27.224477, 120.328828",construction,2021（anticipated),0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hbis Laoting Steel Co., Ltd.","Hbis Group Co., Ltd. 100%",China,China,"39.257823, 119.033567",operating,2020,3735,3735,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanxi Jinnan Iron and Steel Group Co., Ltd.",Shanghai Kunhong Investment HAvg BF-BOF,China,China,"35.678541, 111.514650",operating,2020,7000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chongqing Zuhang Iron & Steel Co., Ltd","Wu Yongcai 50%, Qiu Xianbiao 30%, Wu Caixia 20%",China,China,"29.440056, 105.741929",operating,2018,0,1010,0,0,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hubei Jinshenglan Metallurgical Technology Co., Ltd.","Chen Longguan 55%, Chen Bin 35%, Wang Yongpeng 10%",China,China,"29.916729, 113.822921",operating,2016,3250,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guangdong Jinshenglan Metallurgical Technology Co., Ltd.","Xie Qingmin 75%, Wang Jinxin 10%, Chen Jiawu 10%, Feng Wenrong 10%",China,China,"22.895437, 112.251110",construction,,0,0,0,0,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Sichuan Shengquan Iron and Steel Group Co., Ltd.","Lin Yenan 25%, Chen Caicheng 25%, Wang Qingliang 25%, Chen Hao 25%",China,China,"31.299706, 104.226175",proposed,,0,0,0,0,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yunnan Yuxi Xianfu Iron & Steel (Group) Co., Ltd.","Li Zhiguan 30.79%, Li occurrence 26.13%, Li Mingxian 18.72%, Li Mingpao 18.5%, Wang Chuantai 5.86%",China,China,"24.012309, 102.186364",construction,,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shijiazhuang Iron and Steel Co., Ltd. (Special Steel Branch )","Hesteel Group Co., Ltd. 75%, Hegang International HAvg BF-BOF",China,China,"38.068742, 114.045193",operating,2020,0,2000,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Huaxi Special Steel Co., Ltd.","Jiangsu Huaxi Group Co., Ltd. 43.88%, Wuxi Financial Investment Co., Ltd. 43%, Luannan Xinggang Iron and Steel Co., Ltd. 13.12%",China,China,"39.263172, 119.011489",construction,2021（anticipated),0,0,0,1,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Tianzhu Iron and Steel Group Special Steel Co., Ltd.","Hebei Tianzhu Iron and Steel Group Co., Ltd. 100%: Meng Lanzhi 60%, Wang Yiqian 20%, Wang Shuchuan 20%",China,China,"39.273077, 119.003940",construction,2021（anticipated),0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Taihang Iron and Steel Group Co., Ltd.","Yao Mingxi 65%, Zhang Lei 35%",China,China,"36.613716, 114.082349",construction,2021（anticipated),0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hesteel Group Handan Iron and Steel Co., Ltd.(She County)","Hesteel Group Co., Ltd. 100%",China,China,"36.689962, 113.844791",construction,,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chifeng Zhongtang Special Steel Co., Ltd.","Ma Dehao 60%, Ma Dehong 40%",China,China,"41.793059, 119.247500",construction,,0,0,0,1,1,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Tangyin Iron and Steel Co., Ltd.（Caofeidian)","Hesteel Group Company Limited 47.42%, Hebei Yinshui Industrial Group Co., Ltd. 49%, China Baowu Iron and Steel Group Co., Ltd. 3.51%, Zhoushan State-owned Assets Investment and Management Co., Ltd. 0.07%",China,China,"39.171043, 118.434446",proposed,,0,0,0,0,1,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chengdu Changfeng Iron and Steel Group Co., Ltd.","Chen Xiangguan 38.86%, Chen Xiangfu 34.41%, and other individuals 26.73%",China,China,"31.031921, 103.672956",construction,,0,0,0,0,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Linyi Iron and Steel Investment Group Special Steel Co., Ltd.","Linyi Investment Development Group Co., Ltd. 75%, Junan County Investment Management Co., Ltd. 25%",China,China,"35.157350, 119.133999",construction,,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Henan Angang Zhoukou Iron and Steel Co., Ltd.","Anyang Iron and Steel Group Co., Ltd. 66.78%, other units and individuals 33.22%",China,China,"33.366955, 115.099117",construction,,0,0,0,0,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Zenith Steel Group ( Nantong) Co., Ltd.","Zenith Steel Group Co., Ltd. 100%: Dong Caiping 57.2%, other sharehAvg BF-BOF",China,China,"32.133954, 121.513173",construction,,0,0,0,1,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Liaoyang United Steel Co., Ltd.","Guan Hui 70%, Liaoning Qiandu Industrial Development Group Co., Ltd. 30%",China,China,"41.191380, 122.877311",proposed,,0,0,0,1,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Dazhou Hangda Steel Co., Ltd.","Sichuan Derun Iron and Steel Group Co., Ltd.",China,China,"31.212665, 107.421026",proposed,,0,0,0,0,1,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Luzhou Xinyang Vanadium Titanium Steel Co., Ltd.","Luzhou Chengkun Industry (Group) Co., Ltd.",China,China,"28.851779, 105.705090",proposed,,0,0,0,0,1,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baosteel Desheng Stainless Steel Co., Ltd.",Fujian State Council Assets Supervision and Administration Commission 100%,China,China,"26.487470, 119.654461",construction,,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shandong Iron and Steel Co., Ltd. Laiwu Branch","handong Provincial State-owned Assets Supervision and Administration Commission 90%, Shandong Provincial Social Security Fund Council 10%",China,China,"36.059803, 117.831590",construction,2022（anticipated),0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
TZMS Třinecké železárny steel plant,TZ-MS Group,Czech Republic,EU-27+UK,"49.689053, 18.654557",operating,1906,1300,1300,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
GFG Liberty Ostrava steel plant,GFG Alliance,Czech Republic,EU-27+UK,"49.792139, 18.309875",operating,,3600,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ThyssenKrupp Steel Duisburg steel plant,ThyssenKrupp Group,Germany,EU-27+UK,"51.491649, 6.733051",operating,1891,12000,0,0,1,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Hüttenwerke Krupp Mannesmann (HKM) steel plant,"Thyssenkrupp Steel Europe AG 50%, Salzgitter Mannesmann GmbH 30%, Vallourec Tubes SAS 20%",Germany,EU-27+UK,"51.371279, 6.723310",operating,,5600,0,0,0,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
AG der Dillinger Hüttenwerke steel plant,SHS - Stahl-HAvg BF-BOF,Germany,EU-27+UK,"49.353884, 6.746603",operating,,2800,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Salzgitter Flachstahl steel plant,Salzgitter Group,Germany,EU-27+UK,"52.161794, 10.409371",operating,2001,4600,0,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Eisenhüttenstadt steel plant,ArcelorMittal,Germany,EU-27+UK,"52.168649, 14.623473",operating,1950,2400,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Bremen steel plant,ArcelorMittal,Germany,EU-27+UK,"53.133305, 8.688193",operating,1957,4000,0,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Hamburg steel plant,ArcelorMittal,Germany,EU-27+UK,"53.522601, 9.900749",operating,1969,0,1100,700,1,1,0,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Duisburg steel plant,ArcelorMittal,Germany,EU-27+UK,"51.462987, 6.744612",operating,1852,1500,0,0,1,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Kehler Baden Steel Works,Kehler Group,Germany,EU-27+UK,"48.595058, 7.821633",operating,1955,0,2300,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Riva Brandenburg Electric Steel Works,Riva Forni Elettrici S.p.A. (Riva Group),Germany,EU-27+UK,"52.402617, 12.496135",operating,1912,0,1700,0,1,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Riva Hennigsdorfer Electric Steel Works,Riva Forni Elettrici S.p.A. (Riva Group),Germany,EU-27+UK,"52.650903, 13.212683",operating,1917,0,1000,0,1,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Saarstahl Völklingen Steelmaking Plant,Saarstahl AG,Germany,EU-27+UK,"49.247635, 6.848662",operating,,2700,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Salzgitter Peiner Träger steel plant,Salzgitter Group,Germany,EU-27+UK,"52.313935, 10.258482",operating,1858,0,1800,0,0,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
CSN Stahlwerk Thüringen steel plant,CSN Group,Germany,EU-27+UK,"50.654574, 11.437450",operating,,0,1100,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Algerian Qatari Steel plant,"Qatar Steel International (QSI) 49%, SIDER 46%, National Investment Fund (FNI) 5%",Algeria,RoW,"36.753961, 6.244420",operating,2013,0,2200,2500,1,0,1,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Sider El Hadjar steel plant,Algerian government,Algeria,RoW,"36.795924, 7.707633",operating,1969,0,1800,0,1,1,1,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Tosyali Algerie steel plant,Tosyali HAvg BF-BOF,Algeria,RoW,"35.770912, -0.263031",operating,2008,0,3550,2500,1,0,1,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ETRHB steel plant,ETRHB Industries,Algeria,RoW,"36.834412, 7.454940",proposed,2020 (anticipated),0,0,0,1,1,1,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Egyptian American Steel Rolling Company plant,Beshay Steel,Egypt,RoW,"30.389174, 30.571894",operating,1998,0,1200,0,1,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Egyptian Iron & Steel Company plant,Metallurgical Industries HAvg BF-BOF,Egypt,RoW,"29.774458, 31.312013",operating,1957,1050,1050,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Egyptian Sponge Iron and Steel Company plant,Beshay Steel,Egypt,RoW,"30.393079, 30.587730",operating,2008,0,3000,2000,1,1,0,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Al-Ezz Dekheila Steel plant,"Ezz Steel 55%, Other 27%, Government of Egypt 11%, Social Insurance Fund for Government Employees 6%, Government Pension Fund 1%",Egypt,RoW,"31.123467, 29.809870",operating,1986,0,3000,2320,1,1,0,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Ezz Flat Steel plant,"Ezz Steel 64%, other 36%",Egypt,RoW,"29.692045, 32.322117",operating,1993,0,1300,0,1,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Ezz Steel Rebar plant,"Ezz Steel 99%, other 1%",Egypt,RoW,"30.382179, 30.563029",operating,1996,0,1000,0,1,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Suez Steel Solb Misr plant,LITAT Group,Egypt,RoW,"29.923176, 32.466587",operating,2000,0,2050,1950,1,1,0,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Asturias (Gijón) steel plant,ArcelorMittal,Spain,EU-27+UK,"43.525092, -5.731926",operating,,5000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Sestao steel plant,ArcelorMittal,Spain,EU-27+UK,"43.313144, -2.998964",operating,,0,2400,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Acerinox Europa steel plant,Acerinox,Spain,EU-27+UK,"36.181686, -5.426626",operating,,0,1067,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Grupo Gallardo Siderurgica Balboa steel plant,Grupo Gallardo Balboa,Spain,EU-27+UK,"38.326405, -6.767326",operating,1992,0,1300,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Celsa Barcelona steel plant,Celsa Group,Spain,EU-27+UK,"41.454855, 1.980107",operating,1967,0,2400,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Riva Siderurgica Sevillana steel plant,Riva Forni Elettrici S.p.A. (Riva Group),Spain,EU-27+UK,"37.362968, -5.886865",operating,1954,0,>0,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Olaberria steel plant,ArcelorMittal,Spain,EU-27+UK,"43.038290, -2.219625",operating,1992,0,1450,0,0,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Derba Midroc Tossa Steel plant,Derba Midroc,Ethiopia,RoW,"11.690168, 37.963367",proposed,,0,0,0,1,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
SSAB Raahe steel plant,SSAB,Finland,EU-27+UK,"64.651111, 24.418544",operating,1964,2600,0,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Outokumpu Tornio steel plant,Outokumpu,Finland,EU-27+UK,"65.767115, 24.176472",operating,1976,0,1200,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Dunkerque steel plant,ArcelorMittal,France,EU-27+UK,"51.041274, 2.292948",operating,,6700,0,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Méditerranée Fos sur Mer steel plant,ArcelorMittal,France,EU-27+UK,"43.432830, 4.887166",operating,,5300,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Tata Steel Port Talbot steel plant,Tata Group,United Kingdom,EU-27+UK,"51.577368, -3.783013",operating,1905,3300,0,0,1,1,1,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Scunthorpe Integrated Iron & Steel Works,Jingye Group,United Kingdom,EU-27+UK,"53.580827, -0.616509",operating,,2800,0,0,1,1,1,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Celsa Steel UK plant,Celsa Group,United Kingdom,EU-27+UK,"51.472502, -3.157583",operating,2006,0,1200,0,1,1,1,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
GFG Liberty Steel Rotherham plant,GFG Alliance,United Kingdom,EU-27+UK,"53.450712, -1.323025",operating,,0,1200,0,1,1,1,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
GFG Liberty Steel Newport plant,GFG Alliance,United Kingdom,EU-27+UK,"51.557289, -2.962704",operating,1974,0,1000,0,1,1,1,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Rustavi Metallurgical Plant,Rustavi Steel LLC,Georgia,RoW,"41.531645, 45.026630",operating,1948,1450,120,0,0,0,1,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ISD Dunaferr steel plant,Dunaferr Company Group,Hungary,EU-27+UK,"46.945694, 18.938630",operating,1954,1600,0,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Gunung Raja Paksi steel plant,Gunung Steel Group,Indonesia,RoW,"-6.282658, 107.117683",operating,1986,2800,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Jakarta Prima Steel Industries plant,PT Jakarta Prima Steel Industries,Indonesia,RoW,"-6.181643, 106.932331",operating,,0,unknown,0,0,1,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Krakatau Steel plant,"Republic of Indonesia 80%, Public 20%",Indonesia,RoW,"-6.007021, 106.001766",operating,1970,0,2400,0,0,1,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
KS Posco steel plant,"PT Krakatau Steel (Persero) Tbk, Indonesia, POSCO Korea",Indonesia,RoW,"-5.998661, 105.998660",operating,2013,3000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
CNR Mandan Steel plant,CNR Group HAvg BF-BOF,Indonesia,RoW,"-3.339296, 115.927125",operating,2013,1000,0,0,0,1,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Dexin Steel Morowali plant,PT Indonesia Morowali Industrial Park and Tsingshan HAvg BF-BOF,Indonesia,RoW,"-2.829514, 122.174896",operating,2017,3500,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Shaanxi Iron and Steel Indonesia plant,"Shaanxi Provincial People's Government State-owned Assets Supervision and Administration Commission 89.16%, Shaanxi Province People's Government 10.84%",Indonesia,RoW,,proposed,,0,0,0,0,1,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSW Odisha steel plant,JSW Steel,India,India,"21.763989, 84.022529",operating,2005,1750,1750,2190,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Tata Steel Angul steel plant,Tata Steel,India,India,"20.796053, 85.260382",operating,2004,2800,2800,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
BMM Ispat steel plant,BMM Group,India,India,"15.169720, 76.379710",operating,2006,1300,1000,700,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Essar Steel India Limited steel plant,"ArcelorMittal 60%, Nippon Steel Corporation 40%",India,India,"21.112377, 72.647304",operating,1997,0,10000,6800,1,1,0,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Jayaswal Neco Industries steel plant,Jayaswal Neco Industries Limited,India,India,"21.118112, 79.005585",operating,1972,0,unknown,0,1,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSPL Angul steel plant,Jindal Group,India,India,"20.884896, 84.991539",operating,,0,unknown,2000,1,0,0,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSPL Raigarh steel plant,Jindal Group,India,India,"21.922703, 83.347178",operating,,0,3600,1320,1,0,0,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSW Steel Dolvi steel plant,JSW Group,India,India,"18.690312, 73.035902",operating,,2997.980758,2002.019242,1000,1,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSW Steel Salem steel plant,JSW Group,India,India,"11.814912, 77.918465",operating,2010,599.5961516,400.4038484,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSW Steel Vijayanagar steel plant,JSW Group,India,India,"15.180423, 76.663134",operating,1994,7195.153819,4804.846181,1200,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSW Steel Jharkhand steel plant,JSW Group,India,India,"23.636116, 85.317183",proposed,,0,0,0,1,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
JSW Steel Bengal steel plant,JSW Group,India,India,"22.575726, 87.310258",proposed,,0,0,0,0,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Lloyds Steel Industries steel plant,Lloyds Steels Industries Ltd.,India,India,"19.262606, 73.396916",operating,1991,0,>0,0,1,1,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
NMDC Nagarnar steel plant,Government of India,India,India,"19.0931901, 82.1678809",construction,2020 (anticipated),0,0,0,1,1,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
SAIL IISCO steel plant,Government of India,India,India,"23.673236, 86.926179",operating,1918,2500,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
SAIL Bhilai steel plant,Government of India,India,India,"21.185157, 81.394207",operating,,3925,2500,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
SAIL Bokaro steel plant,Government of India,India,India,"23.671677, 86.106870",operating,1972,4500,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
SAIL Durgapur steel plant,Government of India,India,India,"23.548430, 87.245247",operating,1959,2200,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
SAIL Rourkela steel plant,Government of India,India,India,"22.210804, 84.868950",operating,,4200,0,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Tata Steel Jamshedpur steel plant,Tata Steel,India,India,"22.788598, 86.199600",operating,1907,10000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Tata Steel Kalinganagar steel plant,Tata Steel,India,India,"20.970411, 86.015211",operating,2016,3000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Vizag Steel plant,Government of India,India,India,"17.612846, 83.191918",operating,1971,7300,0,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Karnataka steel plant,ArcelorMittal,India,India,"15.139498, 76.918417",proposed,,0,0,0,1,0,0,0,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Mass Global Investment Group Bazyan steel plant,Mass Group HAvg BF-BOF,Iraq,RoW,"35.660125, 45.039062",operating,2013,0,1250,0,1,1,1,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Esfahan Steel plant,National Iranian Steel Company (NISCO; Government of Iran),Iran,RoW,"32.418304, 51.331314",operating,1971,3600,1000,600,1,0,1,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Hormuzgan Steel Company plant,National Iranian Steel Company (NISCO; Government of Iran),Iran,RoW,"27.164518, 56.094358",operating,2008,0,1500,1650,1,1,1,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Khorasan Steel Complex,National Iranian Steel Company (NISCO; Government of Iran),Iran,RoW,"36.343459, 58.673691",operating,2001,0,1500,1800,1,0,1,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
